Local time,Open,High,Low,Close,Volume
14.01.2019 00:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
14.01.2019 01:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
14.01.2019 02:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
14.01.2019 03:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
14.01.2019 04:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
14.01.2019 05:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
14.01.2019 06:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
14.01.2019 07:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
14.01.2019 08:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
14.01.2019 09:00:00.000 GMT-0500,32.327,32.558,32.098,32.348,33.6098
14.01.2019 10:00:00.000 GMT-0500,32.358,32.737,32.317,32.557,40.1495
14.01.2019 11:00:00.000 GMT-0500,32.557,32.662,32.387,32.418,19.8959
14.01.2019 12:00:00.000 GMT-0500,32.428,32.538,32.387,32.407,13.8934
14.01.2019 13:00:00.000 GMT-0500,32.408,32.608,32.307,32.508,13.7647
14.01.2019 14:00:00.000 GMT-0500,32.507,32.569,32.397,32.528,13.1534
14.01.2019 15:00:00.000 GMT-0500,32.527,32.558,32.327,32.331,16.1821
14.01.2019 16:00:00.000 GMT-0500,32.331,32.331,32.331,32.331,0
14.01.2019 17:00:00.000 GMT-0500,32.331,32.331,32.331,32.331,0
14.01.2019 18:00:00.000 GMT-0500,32.331,32.331,32.331,32.331,0
14.01.2019 19:00:00.000 GMT-0500,32.331,32.331,32.331,32.331,0
14.01.2019 20:00:00.000 GMT-0500,32.331,32.331,32.331,32.331,0
14.01.2019 21:00:00.000 GMT-0500,32.331,32.331,32.331,32.331,0
14.01.2019 22:00:00.000 GMT-0500,32.331,32.331,32.331,32.331,0
14.01.2019 23:00:00.000 GMT-0500,32.331,32.331,32.331,32.331,0
15.01.2019 00:00:00.000 GMT-0500,32.331,32.331,32.331,32.331,0
15.01.2019 01:00:00.000 GMT-0500,32.331,32.331,32.331,32.331,0
15.01.2019 02:00:00.000 GMT-0500,32.331,32.331,32.331,32.331,0
15.01.2019 03:00:00.000 GMT-0500,32.331,32.331,32.331,32.331,0
15.01.2019 04:00:00.000 GMT-0500,32.331,32.331,32.331,32.331,0
15.01.2019 05:00:00.000 GMT-0500,32.331,32.331,32.331,32.331,0
